10152	"Tactical Operations 19 "
10153	"Tactical Operations 20 "
10154	"Communications "
10155	"Property "
10156	"Fleet "
10157	"Administration "
10158	"Mechanics "
10159	"Engineers "
10160	"Operation Communications "
10161	"BA/Hazmat "
10162	"Bushfire "
10163	"Fire Investigation Unit "
10164	"Fire Prevention "
10165	"Training "
10166	"Rescue "
10167	"DISREC 1 Belrose "
10168	"DISREC 2 Cowan "
10169	"DISREC 3 GPT "
10170	"DISREC 4 Kurrajong "
10171	"DISREC 5 Horsley Park "
10172	"DISREC 6 Razorback "
10173	"DISREC 7 Chullora "
10174	"DISREC 8 Heathcote "
10175	"DISREC 9 Mt Tomah (Blue Mountains) "
10176	"DISREC 10 Mt Lambie (Lithgow) "
10177	"DISREC 11 Mt Penang (Gosford) "
10178	"DISREC 12 Mt Sugarloaf (Newcastle) "
10179	"DISREC 13 Mt Arthur (Muswellbrook) "
10180	"DISREC 14 Maddens Plains (Wollongong) "
10181	"DISREC 15 Mt Keira (Wollongong) "
10182	"DISREC 16 Mt Gibralter (Mittagong) "
10301	"Administration - State Operations / MRU "
10302	"Administration - Talkgroup 2 "
10303	"Administration - Talkgroup 3 "
10304	"Administration - Talkgroup 4 "
10305	"Administration - Education Services "
"10306"	"Administration - Newborn Emergency Transport Service "
10307	"Administration - Public Health Service Liaison "
10308	"Administration - Greater West AHS "
10309	"Administration - Hunter AHS "
10310	"Administration - North Sydney/Central Coast AHS "
10311	"Administration - Sydney West AHS "
10312	"Administration - Sydney South West AHS "
10313	"Administration - South Eastern Sydney/Illawarra AHS "
10314	"Administration - AHS Incident 1 "
10315	"Administration - AHS Incident 2 "
10316	"Administration - AHS Incident 3 "
10317	"Administration - Medical 1 "
10318	"Administration - Medical 2 "
10319	"Patient Transport - Operations 1 "
10320	"Patient Transport - Operations 2 "
10321	"Patient Transport - Operations 3 "
10322	"Patient Transport - Operations 4 "
10323	"Patient Transport - Operations 5 "
10324	"Patient Transport - Operations 6 "
10325	"Sydney - North Operations "
10326	"Sydney - South Operations "
10327	"Sydney - East Operations "
10328	"Sydney - West Operations "
